ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
10312561,01/01/2014 01:00:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,False,False,1833.0,18.0,42.0,41.89753369,-87.627343939
12070165,01/01/2014 01:05:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1132.0,11.0,28.0,,
10881457,01/01/2014 01:50:00 AM,THEFT,OVER $500,False,False,112.0,1.0,42.0,,
11569947,01/01/2014 02:00:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,False,False,1814.0,18.0,2.0,,
11234165,01/01/2014 02:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,1421.0,14.0,26.0,,
9446983,01/01/2014 02:20:00 AM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,False,False,915.0,9.0,11.0,41.824728209,-87.643524474
9447440,01/01/2014 02:30:00 PM,BATTERY,SIMPLE,False,False,1131.0,11.0,24.0,41.875132462,-87.736173215
12092743,01/01/2014 02:45:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,232.0,2.0,20.0,,
10628232,01/01/2014 03:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,834.0,8.0,18.0,,
11407674,01/01/2014 03:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,314.0,3.0,5.0,,
10813308,01/01/2014 03:00:00 PM,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,False,False,225.0,2.0,20.0,,
12397613,01/01/2014 03:32:00 PM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,False,True,825.0,8.0,16.0,,
