ID,Date,Primary Type,Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
7358749,01/01/2007 01:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,False,712.0,7.0,16.0,,
7811940,01/01/2007 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,False,True,2511.0,25.0,36.0,,
8056573,01/01/2007 01:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,False,True,1012.0,10.0,24.0,,
13022450,01/01/2007 01:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,False,True,1023.0,10.0,25.0,,
5214524,01/01/2007 01:55:00 AM,CRIMINAL DAMAGE,TO PROPERTY,False,False,1913.0,19.0,47.0,41.946809607,-87.68272958
9474047,01/01/2007 02:00:00 PM,THEFT,FINANCIAL ID THEFT:$300 &UNDER,False,False,822.0,8.0,23.0,,
5219993,01/01/2007 03:00:00 AM,THEFT,FROM BUILDING,False,False,832.0,8.0,18.0,41.764289643,-87.679456133
8111263,01/01/2007 03:00:00 PM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,False,False,511.0,5.0,9.0,,
8020296,01/01/2007 03:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,False,True,432.0,4.0,10.0,,
5218092,01/01/2007 03:15:00 AM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,False,False,1011.0,10.0,24.0,41.861599705,-87.725032735
5214515,01/01/2007 03:18:34 AM,BATTERY,AGG PO HANDS NO/MIN INJURY,True,False,424.0,4.0,10.0,41.730094592,-87.549461987
5214512,01/01/2007 03:18:34 AM,BATTERY,AGG PO HANDS NO/MIN INJURY,True,False,424.0,4.0,10.0,41.730094592,-87.549461987
9991918,01/01/2007 03:45:00 PM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,False,False,611.0,6.0,18.0,,
9346859,01/01/2007 04:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,False,False,824.0,8.0,14.0,,
